"publisher";"date";"impressions";"pageviews";"likes";"followers";"comments";"in_app_pageviews";"shares";"register_followers"
"Raw Story";"2025-06-02";6643460;995260;19929;776;14816;974395;8805;0
"Stocktwits";"2025-06-22";94600;7388;930;32;186;7322;113;0
"Check Your Fact";"2025-06-22";1;0;0;0;0;0;0;0
"Raw Story";"2025-06-22";4003719;783785;31145;779;20194;776934;11291;0
"DPA";"2025-06-22";9589;595;21;2;3;586;6;0
"Raw Story";"2025-06-23";5976477;1214481;34081;935;20215;1198496;12558;0
"Stocktwits";"2025-06-26";291659;34065;1269;72;479;33952;336;0
"DPA";"2025-06-26";716;59;8;0;21;47;0;0
"Raw Story";"2025-06-26";4021868;804045;31714;595;11340;793490;9251;0
"NBA Analysis Network";"2025-06-29";0;0;0;0;0;0;0;0
"Alternet";"2025-06-29";622076;105086;8268;216;3756;103692;1995;0
"Stocktwits";"2025-06-29";60061;6986;688;22;157;6895;47;0
"On3.com";"2025-06-29";827956;51975;1728;134;206;49939;448;0
"East Idaho News";"2025-06-29";3640;118;3;2;4;107;1;0
"Check Your Fact";"2025-06-29";0;0;0;0;0;0;0;0
"Raw Story";"2025-06-29";4933832;866791;20314;757;9950;851514;9565;0
"NFL Analysis Network";"2025-06-29";0;0;0;0;0;0;0;0
"NBA Analysis Network";"2025-06-30";0;0;0;0;0;0;0;0
"Alternet";"2025-06-30";1136606;257427;12265;488;5458;257389;2947;0
"Stocktwits";"2025-06-30";218076;23441;1609;60;529;23320;210;0
"On3.com";"2025-06-30";748627;46038;1535;105;182;44159;408;0
"East Idaho News";"2025-06-30";792;33;0;1;1;21;0;0
"Check Your Fact";"2025-06-30";2;0;0;0;0;0;0;0
"DPA";"2025-06-30";607;43;4;0;1;33;0;0
"Raw Story";"2025-06-30";5699687;907672;24149;687;10880;894602;7670;0
"NFL Analysis Network";"2025-06-30";0;0;0;0;0;0;0;0
"NBA Analysis Network";"2025-07-05";0;0;0;0;0;0;0;0
"Alternet";"2025-07-05";2506681;445518;17191;786;9893;439349;7386;0
"Stocktwits";"2025-07-05";51817;8501;243;20;448;8481;49;0
"On3.com";"2025-07-05";711571;41434;1104;78;122;39645;259;0
"East Idaho News";"2025-07-05";41;4;0;1;0;2;0;0
"Check Your Fact";"2025-07-05";0;0;0;0;0;0;0;0
"DPA";"2025-07-05";7218;484;475;5;34;480;13;0
