"publisher";"month_date";"impressions";"pageviews";"shares";"engagement_rate";"ctr";"share_rate";"follower_conversion_rate"
"Raw Story";"2025-06-01";31279043.0;5572034.0;59140.0;0.0098;0.1781;0.0019;0.0
"Stocktwits";"2025-06-01";664396.0;71880.0;706.0;0.0099;0.1082;0.0011;0.0
"Check Your Fact";"2025-06-01";3.0;0.0;0.0;0.0;0.0;0.0;0.0
"DPA";"2025-06-01";10912.0;697.0;6.0;0.0059;0.0639;0.0005;0.0
"NBA Analysis Network";"2025-06-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Alternet";"2025-06-01";1758682.0;362513.0;4942.0;0.0197;0.2061;0.0028;0.0
"On3.com";"2025-06-01";1576583.0;98013.0;856.0;0.0029;0.0622;0.0005;0.0
"East Idaho News";"2025-06-01";4432.0;151.0;1.0;0.002;0.0341;0.0002;0.0
"NFL Analysis Network";"2025-06-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0
"NBA Analysis Network";"2025-07-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Alternet";"2025-07-01";40571178.0;6871201.0;87973.0;0.012;0.1694;0.0022;0.0
"Stocktwits";"2025-07-01";4064110.0;422639.0;3690.0;0.009;0.104;0.0009;0.0
"On3.com";"2025-07-01";29026106.0;2096922.0;11371.0;0.0022;0.0722;0.0004;0.0
"East Idaho News";"2025-07-01";78400.0;3775.0;29.0;0.0018;0.0482;0.0004;0.0
"Check Your Fact";"2025-07-01";14.0;1.0;0.0;0.0;0.0714;0.0;0.0
"DPA";"2025-07-01";2319936.0;173278.0;2957.0;0.0261;0.0747;0.0013;0.0
"Raw Story";"2025-07-01";120393784.0;20823857.0;226870.0;0.0096;0.173;0.0019;0.0
"NFL Analysis Network";"2025-07-01";95393.0;1410.0;10.0;0.0006;0.0148;0.0001;0.0
"NBA Analysis Network";"2025-08-01";2127023.0;234253.0;542.0;0.0015;0.1101;0.0003;0.0
"Alternet";"2025-08-01";46350686.0;7680073.0;94321.0;0.0124;0.1657;0.002;0.0
"Stocktwits";"2025-08-01";5155664.0;533936.0;5406.0;0.0102;0.1036;0.001;0.0
"On3.com";"2025-08-01";33524753.0;2388819.0;10971.0;0.0016;0.0713;0.0003;0.0
"East Idaho News";"2025-08-01";85125.0;3798.0;34.0;0.0038;0.0446;0.0004;0.0
